,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
37,9,using qatar airway future,craig cutts,united kingdom,2023-12-09,pretty poor experience year using preferred airline singapore airline decided try qatar 6 year check heathrow t4 quick polite boarding process board found a380 upper deck good economy service crew good food transfer doha quick easy boarding kul done well seating felt roomy comfortable even 343 seating 777 arrived kl little early good flight returning check polite unfortunately klia dreadful airport possibly worst asia poor uninterested staff along poor facility apart despite 2 hour delay flight doha pretty good quick transfer doha fine final flight london nice bag recovered quickly using qatar airway future,Couple Leisure,economy class,A350,True,LON,KUL,1,0,
38,0,nice flight qatar airway,cesare recalcati,italy,2023-12-04,nice flight qatar airway aircraft clean well maintained professional cabin crew never disappoint thing complain passed hamad international several time never used finger bus implies long wait traffic jam due high number bus imagine due strong increase qatar airway destination case pity beautiful airline good work qatar,,economy class,A350,True,MXP,SLL,1,0,
38,0,nice flight qatar airway,cesare recalcati,italy,2023-12-04,nice flight qatar airway aircraft clean well maintained professional cabin crew never disappoint thing complain passed hamad international several time never used finger bus implies long wait traffic jam due high number bus imagine due strong increase qatar airway destination case pity beautiful airline good work qatar,,economy class,BOEING 777,True,MXP,SLL,1,0,
39,0,unknown,c dawson,unknown,2023-11-29,overall okay food pretty good leg room acceptable wouldnt say best though customer service good seat however really uncomfortable thin next padding 14 hr flight followed 7hr flight brutal couldnt wait get flew cathay pacific ana jetstar ive also flown emirate air nz qantas latam virgin lot compare id fly significantly cheaper competitor,Couple Leisure,nan,BOEING 777-300ER,Unknown,NAN,NAN,0,10,2023
40,3,checked luggage,unknown,south africa,2023-11-25,cover checked bag cloth envelope prevent scuffing flight plan involved local carrier durban joburg qatar doha chongqing return flight plane delayed hour due mechanical issue doha consequently time landed joburg tambo airport passed passport control picked baggage connecting flight boarding tambo recheck baggage longer operational rush departure check bag time time airline employee check supervisor see could loaded rushed domestic security among last passenger board landed durban chance check luggage noticed damage complained durban airport qatar qatar kept repeating tambo checked luggage filed written damage report would caused miss plane,Business,economy class,,True,DOH,JNB,0,11,2023
41,6,repack twice,unknown,switzerland,2023-11-24,unknown,Couple Leisure,economy class,,Unknown,NAN,NAN,0,0,
42,0,unknown,r rutgers,netherlands,,seat narrow space leg transfer doha complicated unfriendly personnel boarding chaotic fly qatar airway,,economy class,,True,LUN,DOH,0,11,2023
43,3,food sub par,james goldie,united arab emirates,2023-11-19,epic experience merely average flown qr many time long haul q suite epic unbeatable however 4 recent trip istanbul business class including recent reduce average plane leased ex cathay 777 still sporting green flash cathay circa 11 year old feel major gripe around service food beverage short circa 330 hour flight pedantic stellar wine list staff actively ask want refill let alone ask would like food sub par tough overcooked steak coffee service follow greeting goodbye,Solo Leisure,business class,BOEING 777-300 ER,True,IST,DXB,1,0,
44,0,flight excellent,barker,unknown,2023-11-18,originally booked fly cathay pacific 22 october however flight melbourne hong kong delayed nine hour would make connection manchester took cathay 6 hour rebook next available day direct flight hk manchester thing happen second occasion managed get rerouted using qatar airway proved welcome lucky break flight excellent decent legroom comfortable seat meal better expected fa efficient friendly managed get sleep flight night fa made several run cabin drink snack awake doha manchester flight full spare seat left doha late airline problem several large family group passenger booked seat together felt numerous passenger relocated enable accommodated seating arrangement deemed acceptable flight attendant could forceful getting passenger allocated seat took senior crew member establish order could depart,Solo Leisure,economy class,A350,True,MEL,MAN,1,10,2023
44,0,flight excellent,barker,unknown,2023-11-18,originally booked fly cathay pacific 22 october however flight melbourne hong kong delayed nine hour would make connection manchester took cathay 6 hour rebook next available day direct flight hk manchester thing happen second occasion managed get rerouted using qatar airway proved welcome lucky break flight excellent decent legroom comfortable seat meal better expected fa efficient friendly managed get sleep flight night fa made several run cabin drink snack awake doha manchester flight full spare seat left doha late airline problem several large family group passenger booked seat together felt numerous passenger relocated enable accommodated seating arrangement deemed acceptable flight attendant could forceful getting passenger allocated seat took senior crew member establish order could depart,Solo Leisure,economy class,BOEING 787,True,MEL,MAN,1,10,2023
