,Rating,Title,Author,Country,Date,Review Body,Type Of Traveller,Seat Type,Aircraft,Verified,Source,Destination,Via,Date Flown Month,Date Flown Year
1945,3,qatar airway customer review,p j trebuchet,united arab emirates,2015-05-20,dxbdohbcn return overall poor flight segment quite old airbus a330200 noisy engine extremely cramped seat poor ife awful food small portion quite inattentive rude cabin crew way ground staff inattentive transfer doha mess happy fly airline future,,economy class,,Unknown,NAN,NAN,0,0,
1946,8,qatar airway customer review,rohnny bergers,italy,2015-05-20,flight mxp bkk november 2014 flight schedule a330 mxp doh rather old leg space b777 doh bkk rather ok still feeling reduced aircraft well leg space honestly cant complain paid low rate mxpdoh flight staff made mess meal request made booking serving food told low fat meal wasnt available served normal meal 40 minute hostess passed serve low fat meal dohbkk flight everything ok,,economy class,,Unknown,NAN,NAN,0,0,
1947,9,qatar airway customer review,unknown,singapore,2015-05-20,economy sindohath 9 may viedohsin 16 may boarding singapore time flight departed slightly behind schedule seat b787 bit cramped comfortable entertainment system good meal service prompt good snack sandwich main meal transfer doha seamless upon disembarking could clear transit security within 10 minute flight athens older a330300 entertainment system bit dated food good service ok seat good though departed doha behind schedule arrived athens around 10 minute late bag belt within 20 minute disembarking aircraft return vienna good checkin fast boarding took around 20 minute although bit disorganised viennadoha flight operated b787 seat entertainment ok veg meal got flight pretty good crew professional privilege fly a350 doha singapore aircraft step b787 seat pitchwidth earphone usb port integrated screen entertainment system worked perfectly flight sector full service best lot cabin crew went around several drink snack service main breakfast meal sector good arrival singapore time bag belt within 20 minute good experience qatar airway look forward flying a350 future,,economy class,,Unknown,NAN,NAN,0,0,
1948,3,qatar airway customer review,w patrick,south africa,2015-05-20,unknown,,economy class,,Unknown,NAN,NAN,0,0,
1949,0,qatar airway customer review,g palmer,united kingdom,2015-05-18,flew lhr bkk back week ago final destination siem reap cambodia picked flight based trying a380 one leg three sector 777300er id read review comfortable funnily enough found a380 segment enjoyable comfortable hard soft product seemed little bit could swear legroom a380 777 despite official figure saying otherwise maybe seat thickness sculptured food average edible oh there timing advantage preordering special meal get loaded trolley served alongside everybody elses way back journey originated siem reap cambodia bangkok airway code share w qr managed get luggage checked lhr even got boarding pass issued way,,economy class,,Unknown,NAN,NAN,0,0,
1950,0,qatar airway customer review,james choochot,united kingdom,2015-05-16,man bkk economy via doha leg delayed least hour though boarding ontime worried connection doha assured nothing worry made lost hour doha circled 30 min landing airport state art new hamad hub airport chaos due smog face mask required though airport never experienced life time inflight entertainment system excellent food drink service airline staff appear happy job leg one cooked meal delicious one snack wrap pasty handed flight soft drink snack available good choice free alcoholic drink including champagne request dont usually travel economy class long haul flight well worth qatar,,economy class,,Unknown,NAN,NAN,0,0,
1951,9,qatar airway customer review,k seweryn,japan,2015-05-16,nrtwaw end march wawnrt week later family small 5 7 child 1 hour late departure warsaw rest time good seat nrtdoh dohnrt flight 772 really problem space big person 185cm110kg dohwaw much smaller 320 still ok 6 hour warsaw ife wasnt working one seat reseat also difficult use another overhead light wasnt working 3 seat small amenity kit even economy food good plenty child food really nice box cabin crew attentive also bad recommended especially price ive paid,,economy class,,Unknown,NAN,NAN,0,0,
1952,0,unknown,leston,united kingdom,2015-05-12,lhrdohbkkdohlhr year since last flew qr interested seeing whether theyd kept standard high remembered largely wasnt disappointed flown 777a330a340a380 got try lh type cabin crew still good aircraft interior still pristine especially a380 although understandable 6 month old hamad international great improvement old doha airport transit criticise anything would food definitely seems deteriorated bit two meal absolutely inedible really surprising,,economy class,,Unknown,NAN,NAN,0,0,
1953,9,qatar airway customer review,laprairie,united states,2015-05-11,unknown,,nan,,Unknown,NAN,NAN,0,0,
1954,6,unknown,harold bush,unknown,2015-05-11,day return lhr bkk received email qatar offering good deal upgrade business class took meant start checkin process bkk airport 5 pm till 520 check staff excellent efficient offered drink boarding hot cold towel person next offered opted middle seat order aisle access configuration 777 222 seat indeed comfortable much privacy rather disappointed food expecting lot nicely presented fa go way make one journey enjoyable think food good people claim much better food cathay ba business food doha lhr even less interesting leg a340600 seat much smaller even less privacy person next almost damaged glass put little shared area seat business lounge doha superb food let option salmon available la carte menu lamb hard salty buffet stuff looked like something local waitrose simple snack area far interesting prepare whatever want lovely many area lounge including large business room next area hardly anyone us socalled quiet area anything quiet people snoring breaking wind pulling trolley talking etc seat extremely uncomfortable way one good nap understand cannot put stuff like ba cabana t5 blanket verdict qatar business good definitely well cathay ba people claim,,business class,,Unknown,NAN,NAN,0,0,
1955,4,qatar airway customer review,praszek,unknown,2015-05-11,recently flew lhrauhlhr stopover doha wasnt first time used qa sincerely hoped service improve wrong ground staff checkin lhr nice people need start smiling airbus a340 spacious problem legroom inflight entertainment ok cabin crew inattentive sometimes polite asked glass water started serving meal didnt get crew member looked unsatisfied interrupted glass water request also remind bland meal ive preordered return flight abu dhabi doha 1 hour delay miracle ive managed catch lhr flight also arrived london 20minute delay despite cheap fare im going fly qatar airway anymore ill better pay flight competitor airline,,economy class,,Unknown,NAN,NAN,0,0,
1956,9,qatar airway customer review,u colombo,unknown,2015-05-05,april 15 cape town doha return brisbane cape town may 2 2015 cannot fault airline standard kept high sector bought ticket online qatar special 40 discount,,business class,,Unknown,NAN,NAN,0,0,
1957,9,unknown,r mehta,united kingdom,2015-04-30,recently flew lhr auh via doh first leg supposed a380 specifically booked changed 777 annoying nonetheless comfortable comfortable 333 configuration 777 unlike gulf carrier opt cramped 343 transit hamad international simple clean large airport lot food given even champagne served economy a320 dohauh back decent snack provided good shorthaul easy transit onto new a330 back lhr service fantastic seat noticeably smaller width compared 777 new ife departing lhr arrived late airport qatar ground staff reassuring helpful making sure caught flight,,economy class,,Unknown,NAN,NAN,0,0,
1958,4,qatar airway customer review,unknown,germany,2015-04-28,end march beginning april travelled txl doh a330200 business class total impression interior positive rather rundown cabin staff hand â polite helpful making flight really agreeable electronic seat adjustment device great number seat really work put awkward seating position unusual sight passenger nearly lying flat seat landing several staff tried vain put seat upright position another highlight attempt several cabin staff member unlock dining table spoon end succeeded meal really offer inflight dining experience business usual nothing worth mentioning whole impression unimportant route written aircraft used whose cabin maintenance leaf lot desired return flight technical problem worth mentioning except cabin crew member interested chatting serving meal drink,,business class,,Unknown,NAN,NAN,0,0,
1959,4,qatar airway customer review,ali soufan,united kingdom,2015-04-27,unknown,,nan,,Unknown,NAN,NAN,0,0,
1960,8,qatar airway customer review,harold bush,united kingdom,2015-04-27,lhrdohbkk economy way brand new a380 two great trip problem food terrible portion extremely small bother best take rubbery chicken tasted like something else space economy seat a380 extremely generous equivalent ba wt impressive connection doha easy plane straight departure area connecting passenger security check ba gold card ec allowed use first check first lounge priority boarding however qatar fussy premium passenger allowed board via priority first class boarding even though small economy cabin back upper deck first business located board disembark via usual channel via lower cabin mean economy upper deck last disembark cosy small cabin though breach oneworld rule regarding perk emerald word first came mind segregation take incredible measure protect premium passenger contact rest u ordinary mortal never seen anything like many year continuo travelling first business economy staff professional access first class lounge doha gigantic nice mayhem peak hour amazing service though good thing several area one could choose went one adjacent business centre quiet indeed flight full lhr doh almost empty good experience happy repeat especially price ticket one best seen year get lhr bkk,,economy class,,Unknown,NAN,NAN,0,0,
1961,10,qatar airway customer review,paul karagounis,unknown,2015-04-22,maddel via doha return 777300 787 way excellent trip overall check friendly quick efficient flown sector seat comfortable converted fully flat bed staff courteous friendly efficient make feel home almost personalized service food beverage high quality entertainment endless lounge doha new airport one best believe wonderful experience,,business class,,Unknown,NAN,NAN,0,0,
1962,5,qatar airway customer review,howard kris,hong kong,2015-04-22,unknown,,economy class,,Unknown,NAN,NAN,0,0,
1963,2,unknown,p j trebuchet,united arab emirates,2015-04-16,shjdohnbo march 914th supposed pleasant enjoyable flight actually nightmare beginning end checkin sharjah chaotic ground staff member belonging air arabia opened counter 30 minute late needing 15 20 minute treat every passenger even priority lane request emergency exit wider pitch ignored ask 3 time business class lounge invitation card female agent even forgot give passport finally printing ticket police control crowded time spent vip lounge enjoyable moment qr chef descale friendly helpful special welcome privilege club old a320 aircraft snack served awful nothing water available transit time doha worst despite qr sale office promise hotel accommodation provided 8 hour transit discovered passenger coming fromgoing sharjah excluded courtesy stay overnight oryx lounge crowded earplug eye mask available least shower clean comfortable food offer ridiculous coffee machine working dohnbo morning flight miserable old tired a320 ife 5 hour flight seat cramped special welcome privilege club geovision said return flight issue doha regarding transit last time qatar airway,,economy class,,Unknown,NAN,NAN,0,0,
1964,3,unknown,elisabet weisshappel,iceland,2015-04-16,route march 3 2015 london doha johannesburg port elizabeth quite ok everything expectation flight back april 9th also ok flight april 10th doha london flight qr011 airbus a340600 flight awful seating tight could hardly move service qatar airway standard worst flight toilet water,,economy class,,Unknown,NAN,NAN,0,0,
1965,0,qatar airway customer review,l dyke,united kingdom,2015-04-14,manchester melbourne return flight good always 2 seat doha melbourne enabled 67 hr sleep criticism filmsmusic etc little outdated film quite old new airport big bright found way around quite easily plenty qatar air staff walking ready help needed ive already booked next year,,nan,,Unknown,NAN,NAN,0,0,
1966,5,qatar airway customer review,unknown,malaysia,2015-04-14,qr845 12 march kuldoha qr237 dohist return flight 23 march qr240 istdoh qr844 dohkul given different seat doha istanbul although booked seat got confirmation email qatar airway resulting u separated tea coffee offered took quite long time get cup coffee requested one flight back istanbul doha lunch took age served air hostess dont seem move first 3 row almost 1 hour serving side already distributed passenger please improve,,nan,,Unknown,NAN,NAN,0,0,
1967,7,unknown,unknown,france,2015-04-12,unknown,,economy class,,Unknown,NAN,NAN,0,0,
1968,5,qatar airway customer review,unknown,united kingdom,2015-04-10,lhrdohhkt 1932015 first leg ageing a340 must add superb aircraft comfortable second leg a330300 great seat felt worn service wise found travelled qatar would appear put best staff heathrow route route phuket tend get staff lower ability overall loyal customer qatar year sure future agree comment qatar riding past reputation food average best inflight service lip service crew tend walk past whilst offering tea coffee without actually making eye contact entering leaving aircraft might well one door however provide bassinet kid although phuket flight crew never assembled correctly whilst directly related qatar new hamad airport joke lack signage direction lack air bridge speed connection appalling supposed new state art airport,,economy class,,Unknown,NAN,NAN,0,0,
1969,5,qatar airway customer review,azam,united kingdom,2015-04-10,bkkdohlhr 142015 first leg new a380 personally feel average best certainly spacious feel opulent emirate a380 second leg a340 fine service really wasnt great whilst staff smiley feel forced see change last year food average whilst directly related qatar new hamad airport lack signage direction lack air bridge speed connection appalling supposed new state art airport way back qatar sand storm terminal building filled sand people really suffering whilst understand act nature would like think operate region extreme weather condition accommodate accordingly,,economy class,,Unknown,NAN,NAN,0,0,
1970,0,qatar airway customer review,peter lewis,united kingdom,2015-04-06,fradoh new airbus a350 nice experienceeven quieter giant a380 lovely plane nice interior whilst similar 787 another level term classinessnext flight 787 dohasingapore looking forward return journey a350 also worth noting routing frasin much cheaper lhrsin hassle get connecting ba flight lhr fra 3 u saved several thousand pound,,business class,,Unknown,NAN,NAN,0,0,
1971,1,qatar airway customer review,coldrey,united kingdom,2015-04-06,never fly qatar airway flying manchesterdohajohannesburg return outbound flight good friendly check assistant allocated emergency exit seat extra leg room disability worst problem 7 hour wait doha aware however return flight unfriendly unwilling assist check even though registered site disabled therefore able check online assistance given given ticket thankfully checked connection doha manchester changed informed resulted six hour wait doha instead hour half assistance given either leg journey allocate extra legroom board flight doha manchester discovered separate row allocated middle seat disability make worse managed change seat airplane thanks helpful fellow traveler assistance airline crew also found seat uncomfortable sore back day returning home never,,nan,,Unknown,NAN,NAN,0,0,
1972,4,qatar airway customer review,david nicholson,united kingdom,2015-04-01,unknown,,economy class,,Unknown,NAN,NAN,0,0,
1973,3,qatar airway customer review,unknown,unknown,2015-03-30,two reason would never fly qatar airway 1 apparent policy regarding delayed flight spent 13 hour kathmandu airport weekend waiting flight back london via doha weather may beyond control respond last airline able land filled first flight passenger later scheduled flight priority waited longest consequently 1230pm flight finally got away 930pm appeared find extra plane sofa great disaster scheme thing choice airline make attempt get waited longest away first take 2 comfort seat appear ergonomically designed maximum discomfort 5ft 5 guy weight 8 stone problem cant imagine must like taller wider 2 hour 7 hour flight really struggling said cant fault servicethe cabin crew efficient friendly attentive shame 1 2,,economy class,,Unknown,NAN,NAN,0,0,
1974,7,qatar airway customer review,ali muhammad,unknown,2015-03-30,rode economy class yul doh back qatar airway boeing 777300er also tried saudi arabian airline emirate would say overall especially seat comfort emirate better choice would also recommend choosing emirate longer flight like yul doh,,nan,,Unknown,NAN,NAN,0,0,
1975,0,qatar airway customer review,angela brown,united kingdom,2015-03-30,singaporedohaedinburgh 787 lounge singapore better expected reading review small selection hot cold food small drink selection cool fairly quiet good priority boarding singapore bus transfer doha separate bus exclusively business class leg welcomed board name shown seat given pre takeoff drink offer newspaper amenity bag provided pyjama provided singaporedoha leg time referred name takeoff csd introduced staff checked knew control worked seat ife witnessed showing great patience helping elderly gentleman get grip ife provided wine food menu explained could dine wanted food wine selection good food presented well cabin crew continuously walking cabin quietly offering service required found seat comfortable position managed sleep around 45 hour leg toilet spacious kept spotless condition first experience qatar guarantee wont last world apart outward trip ba totally recommend qatar airway,,nan,,Unknown,NAN,NAN,0,0,
1976,9,qatar airway customer review,anders pedersen,denmark,2015-03-30,flew hanbkkdohdwc dubai world return hanoi march 2015 economy hanbkkhan b7773 business bkkdoh a380 dohbkk b777 first dohdwcdoh a320 respectively fantastic airline class except first within middle east real first a320 seat typical old style bzclass seat a380 bz class give sublime experience almost perfection bar onboard offer intelligently brand drink menu card served seated like herring bone seat layout found trip cozy staff caring ate demand sophisticated drink list many expensive item offered like several wine one normally access easily usual poor beer option small portion food offered compared earlier business class experience qr staff alert professional truly caring great experience flight time except one caused missing connection however qr instantly rebooked satisfaction eventually arrived time final destination tendency close servicing passenger board far early landing approx 40 minute disappointing unnecessary annoying,,business class,,Unknown,NAN,NAN,0,0,
1977,0,qatar airway customer review,unknown,united kingdom,2015-03-28,flew lhrdoh a380 lounge access lhr great really personalised service felt like swanky hotel rather lounge onboard seat fine nice emirate sure comfy space great food beverage service little tip leave krug bar worth walk ife bit skippy dohrhy 787 used business rebrand first short trip fine major fan 787 lounge riyadh abysmal shared spent time duty free avoid lounge doha terminal nice easy long layover especially family room available sleep krug tap dont recommend 45 min transfer terminal big help connection get time least let business priority chance run woke little bit dohlhr business one a319 aircraft comfortable seat ife didnt work properly kept skipping frequently handed pjs encouraged everyone go sleep service leg excellent,,business class,,Unknown,NAN,NAN,0,0,
1978,0,unknown,solomon rom,unknown,2015-03-28,qatar airway long time favourite service extremely good flight qr564 doha delhi 19 march severe earache must say chief steward really went extra mile providing hot honey lemon drink mush appreciated really unexpected economy class passenger however boarding delhi 8th march terrible experience standing 5 queue hour half dawn funny especially senior citizen also inflight entertainment flight doha nairobi one dar e salaam doha plus meal served doha delhi flight really substandard kind chicken korma,,nan,,Unknown,NAN,NAN,0,0,
1979,9,qatar airway customer review,kalter,united states,2015-03-28,nice cabin newish 777 dreamliners phldohacolombo improved legroom coach good entertainment food cabin crew well par one small complaint free doha city tour layover five hr great idea heavily hyped site inflight magazine accommodate twenty people time believe go every two hour joke thousand connecting given time havent guessed bumped somewhat casually ground staff doha interested returning chat apologizing explaining situation,,economy class,,Unknown,NAN,NAN,0,0,
1980,9,qatar airway customer review,j marten,belgium,2015-03-25,cdgdohcpt board a380 787 nice flight good food drink night flight quiet fly qatar,,nan,,Unknown,NAN,NAN,0,0,
1981,9,qatar airway customer review,unknown,united kingdom,2015-03-23,unknown,,economy class,,Unknown,NAN,NAN,0,0,
1982,0,qatar airway customer review,arman,sweden,2015-03-20,trip stockholm dubai via doha economy class flow new 787 dreamliner many written seat quite bad really disappointing since higher expectation qatar airway seat small legroom tight ifebox take much space entertainmentsystem good food service also good also flew a330 comfortable entertainment system really old best airplane without doubt boeing 777 comfortable modern thats plane recommend travel qatar airway choose another carrier next time,,nan,,Unknown,NAN,NAN,0,0,
1983,9,qatar airway customer review,unknown,united kingdom,,flew lhrdohacape town joburgdohalhr back much cheaper ba direct flight used service comfort food several grade better ba well well worth extra 6 hour journey time change doha better comfort service alone change doha 2 hour window easy actually broke journey nicely,,economy class,,Unknown,NAN,NAN,0,0,
1984,3,qatar airway customer review,p van jaarsveldt,united kingdom,2015-03-20,amddohlhr lounge ahmedabad funny airline use cupboard behind restaurant flight doha a321 fine lie flat anything short flight return leg flew new a380 doha london horrible experience avoid aircraft like plague service terrible wait age anyone attend think many people stick 777 ife keep hanging control fail gave 3rd attempt went sat bar wife quite pleasant,,business class,,Unknown,NAN,NAN,0,0,
1985,8,qatar airway customer review,p van jaarsveldt,united kingdom,2015-03-20,lhrdohamd back lounge london really nice flew a340600 quite old lie flat decent enough lounge doha horrible especially compared old one huge impersonal feel like airport rather quiet sanctuary like school canteen business lounge flight ahmedabad a321 fine lie flat anything short flight,,business class,,Unknown,NAN,NAN,0,0,
1986,0,qatar airway customer review,pierrejean trebuchet,united arab emirates,2015-03-17,unknown,,economy class,,Unknown,NAN,NAN,0,0,
1987,5,qatar airway customer review,p herrmann,unknown,2015-03-17,flew brudohdxb back even though leg dohdxb rated first class subsummarize business class trip cabin product cabin seat comfortable nothing complain service level general low starting performance cabin crew business class hectic really attentive dont use trolley business class serve every guest individually galley lead hectic atmosphere cabin crew walk lot miss grace whilst serving seems invention service tray totally ignored bring plate bare hand galley realised forgot spoon knife came back holding spoon one hand knife instead putting tray serving nicely short trip doha dubai oneafteranother type service lead fact last business class row served 5 minute prior start descent poor people could even finish meal worst experience checkin dubai one counter first business class passenger one counter status member line totally overcrowded checkin procedure went really slow waiting 30 min first class passenger tried move called help desk ask checkin suddenly qatar airway representative appeared yelled go back line waited 50 minute could check firstclass lounge qatar airway small old totally overcrowded way want treated first business class passenger think first lot improvement service level compete airline singapore airline,,business class,,Unknown,NAN,NAN,0,0,
1988,10,qatar airway customer review,david pilkington,united kingdom,2015-03-17,never flown qatar wonderful surprise early check heathrow returning kathmandu meant extra leg room seat sector back drink service wonderful want allowed champagne dinner food choice lovely tasty staff could enough passenger say would recommend definitely fly qatar advice would say needed another set toilet plane found seat little tight although large man extra legroom matter,,economy class,,Unknown,NAN,NAN,0,0,
1989,0,qatar airway customer review,ari ayam,sweden,2015-03-17,went qatar airway stockholm dubai doha first flight new boeing 787 dreamliner good entertainment system high resolution screen slow response touch lack music tvseries seat config good however legroom bit disappointing otherwise dreamliner nice airplane way back a330 getting old really change entertainment system onboard didnt even work flight back quite boring short flight b777 also doha dubai probably best airplane qatar got right legroom good entertainment system,,nan,,Unknown,NAN,NAN,0,0,
1990,7,qatar airway customer review,j fairclough,france,2015-03-17,bcn kul via doh flight a330 200 seatmaps type plane little misleading show 4 row biz class one large block reality row 13 forward cabin strangely row 4 small section galley econ section wife seated seat 4 jk feel pretty private course prone noise kid etc behind econ guess pay money take choice food copious excellent quality flight bit slow refilling wine glass even refurbished a330s beginning show age frankly seat rather lumpy comfortable even fully flat whilst boarding kl barcelona fine say disappointed doha 3 4 flight outlying stand jetways really find hard see brand new airport trumpet one world best many flight involve long trek followed herded onto bus climb steep step board sort thing may ok charter flight majorca luton 80 really cut mustard 2015 business class ticket supposedly 5 airline overall price good product,,nan,,Unknown,NAN,NAN,0,0,
1991,0,unknown,jason,unknown,2015-03-17,travelled business class dohfra booked new a350 flat bed two day flight plane swapped a330 ski slope bed third time aircraft substitution inferior product qatar standardise business class product 787sa380s would recommend product receive day fly seems total lottery flat bed sleep priority avoid,,business class,,Unknown,NAN,NAN,0,0,
1992,1,qatar airway customer review,wim timmermans,indonesia,2015-03-09,qr 957 jan 9th qr 956 feb 1st cgkdohcgk business a330 first last time seat total disaster major design flaw sitting lounging ok going flat however footrest go despite plenty space midsection go get totally unnatural position product 380 777 better avoid 330 cost buy economy seat fly another airline better understood need bc traveller,,nan,,Unknown,NAN,NAN,0,0,
1993,8,qatar airway customer review,singer,unknown,2015-03-09,lhrdohdxb back london doha qf seems use mix aircraft many daily flight experienced a340300 back aircraft starting show age seat uncomfortable picture sound quality video demand set poor compared get modern aircraft day however legroom seemed generous compared ba virgin et al service good though way back switched light night flight still romania good two half hour heathrow serve breakfast doha new hamed international airport brand new pleasant place transit doha dubai qatar used dreamliner whats 45 min flight despite small issue id definitely take cheapest route experience still better get european let alone n american carrier long haul qf middle eastern airline also havent introduced practice making pay choose seat use app change many time want case managed get free seat next stretch pre check,,nan,,Unknown,NAN,NAN,0,0,
1994,5,qatar airway customer review,unknown,france,2015-03-09,unknown,,economy class,,Unknown,NAN,NAN,0,0,
1995,8,unknown,w charlotte,unknown,2015-03-09,cphdohdxb roundtrip cphdoh boeing 787 dreamliner nice plane tasty food cramped seating 67 hour flight dohadubai shorthaul airbus 321 great legroom one hour flight serve small meal beverage dubaidoha airbus 330 great legroom service spacious seating short flight seating felt even cramped longer flight doha copenhagen new clean plane friendly helpful staff leg still made trip pleasure flight departed time arrived ahead schedule smooth boarding,,economy class,,Unknown,NAN,NAN,0,0,
1996,7,qatar airway customer review,laprairie,united states,2015-03-04,unknown,,business class,,Unknown,NAN,NAN,0,0,
1997,9,qatar airway customer review,sandra mcbride,united states,2015-03-04,dfwdohacochin prompt boarding way delightful crew great food complaint however transfer doha could nightmare due go security,,economy class,,Unknown,NAN,NAN,0,0,
1998,5,qatar airway customer review,unknown,united kingdom,2015-03-04,flew lhr doh 23rd february onward connection phuket connection doha tight 45 min assumed qatar sorted quick transit qr 002 arrived doha 10 minute behind schedule ideal start took ground staff almost 15 min get first passenger absolutely help ground personnel fast track connection despite dashing security arriving gate refused boarding told plane left know fact flight arrives phuket day almost hour ahead schedule wait dozen affected passenger booked ticket direct qatar would expected assist make tight connection sold,,economy class,,Unknown,NAN,NAN,0,0,
1999,7,unknown,c aiken,united kingdom,2015-03-04,manchesterdohamelbourne 20th feb 2015 first leg doha a330200 fully booked aisle seat plenty room leg im six foot entertainment system froze halfway film watching ended watching screen next empty seat shiny screen reflection dominates lot watch food reasonable service seemed little slow overall good first leg trip there 45 minute layover doha well geared trouble missing luggage despite gate opposite end airport second leg melbourne 777300er almost full seat nowhere near comfortable far less leg room better entertainment system airbus matt screen reflection problem food probably slightly better seems slow process overall however arrived melbourne feeling fit refreshed would definitely take route here hoping airbus return journey,,economy class,,Unknown,NAN,NAN,0,0,
2000,8,qatar airway customer review,g mossom,unknown,2015-03-04,lhrdoh return qr016015 business class a319 paid qmiles excellent food drink provided good crew seat comfortable bit tight anyone window seat due 22 configuration ife extensive control via iphone style handset bit temperamental flight basically freebie helped passenger load 50 enjoyable however flight full suspect wouldnt enjoyed much,,business class,,Unknown,NAN,NAN,0,0,
2001,3,qatar airway customer review,unknown,india,2015-03-04,flew qr 3 feb cape town dreamliner disappointing noisy cabin narrow seat leg room 510 struggle squeeze food portion small plastic fork spoon mediocre slow service 8 hour flight served drink flight sector time ran nonveg food two sector crew seemed amateur clumsy except joburgdoha sector daytime flight crew cheerful friendly grumpy sector meal snack small packet chip chocolate snack drink given joburgdoha sector tasteless small bread stick horrible salsa nut would 100 time better old hindi movie limited choice tv channel never qr,,economy class,,Unknown,NAN,NAN,0,0,
2002,0,qatar airway customer review,unknown,greece,2015-03-04,abu dhabi doha athens flight time food good stuff great always new al hammad airport fantastic functional luxurious far less overcrowded dxb abu really add qatar great service,,economy class,,Unknown,NAN,NAN,0,0,
2003,8,qatar airway customer review,g walbrook,australia,2015-02-24,cbr qf per mad via per doh second time flown qatar pleased result check staff courteous helpful cabin staff helpful food simple good seat particularly wide economy 189 inch think legroom recline good never sleep well cabin seating gave best chance could fairly crowded economy class excellent value money get one promotional fare good anyway,,economy class,,Unknown,NAN,NAN,0,0,
2004,0,qatar airway customer review,k wardrop,united kingdom,2015-02-24,edidoh 13215 dohedi 18215 b787 dreamliner 7 hour sector great direct route seems popular especially connection second time used service third trip qatar 787 economy seat uncomfortable 333 configuration strange choice a330 service flew june 2014 dohhkg seat much comfortable 242 better metal box floor 787 restricts leg room leg room tight unbearable passenger front reclines seat better leg room easyjet low frill airline emirate 777 seat better gladxb cabin service crew good trip,,economy class,,Unknown,NAN,NAN,0,0,
2005,9,unknown,alan wan,united kingdom,2015-02-24,flew lhrdohdac trip started qatar business lounge t4 thought lounge excellent food service comfort first rate first flight a319 business class plane feel exclusive level service attention superb however solo traveller would opt different aircraft possible allows every passenger direct aisle access saying sat aisle neighbour sitting window never woke getting loo food best experienced flight food particularly main course lamb couscous superb flight departed arrived hour late occasion problem quite long layover doha plane parked remote stand bussed limocoach type coach equipped 12 spacious sofa queue transit security xrayed bag al mourjan lounge within minute lounge huge plenty space sit found sofa lie hour taking shower lunch upstairs restaurant buffet affair rather cook order lhr overall cant knock lounge lovely much preferred lhr lounge felt exclusive food offering much better unfortunately flight delayed 2 hour ended eating lounge tried downstairs restaurant served cold food returned upstairs restaurant departed gate a8 took 10 minute get amazingly passenger business class 30 seat business cabin a330300 weird 29 empty seat 5 fa look glass excellent billicart salmon brut champagne preflight drink fabulous st clair sav blanc meal chose mushroom basil oil soup followed rump lamb full dessert food good first flight expected 4 hour flight three course meal rather seven course banquet arrived 2am immigration time mainly passenger requiring complete visa arrival hotel arranged fixer collect deliver car pick point hotel minivan collect,,business class,,Unknown,NAN,NAN,0,0,
2006,8,qatar airway customer review,denzil bourne,unknown,2015-02-24,flew lhrdoh a380 lounge access lhr good cheap champagne onboard seat great great food beverage service ife spot dohdac a330 used first class seating j seating managed get flatbed food beverage leg great dry possibly due delay doh also ife reset several time return sector rgndoh a330 comfortable seat food rgn wasnt great hungry ate dohlhr business one a319 aircraft comfortable seat ife didnt work properly kept skipping needed sleep think got five hour,,nan,,Unknown,NAN,NAN,0,0,
2007,5,unknown,alison swain,united kingdom,2015-02-24,returned edinburgh today qr027 doha dreamliner day flight leaving 730am booked anyone know every single window blind put blackout mode breakfast served done passenger cabin light dimmed stayed way throughout flight couldnt even see fa serving u unless put reading light wanted ambience night flight would booked one wondered qatar airway policy even daytime flight economy 12 e f legroom short haul 737s cramped disappointed passenger,,economy class,,Unknown,NAN,NAN,0,0,
2008,10,qatar airway customer review,anthony slark,united kingdom,2015-02-24,flew londondohakathmandu 3rd february also economy class first flight boeing 777 second airbus a320 first flight one best bad start angry inconsiderate passenger front refused put seat lunch served incredibly rude cabin attendant cabin attendant suggested move empty emergency door seat lot legroom plane immaculate service second flight kathmandu also excellent every way flight time flight attendant could see extremely professional helpful friendly highly recommend airline looking forward flying airbus a350,,economy class,,Unknown,NAN,NAN,0,0,
2009,8,qatar airway customer review,unknown,united kingdom,2015-02-18,unknown,,economy class,,Unknown,NAN,NAN,0,0,
2010,3,qatar airway customer review,navid akram,qatar,2015-02-18,flew dohlhr 1250pm flight poorest experience qa date started well lounge good service soon stepped onto plane ac working plane set known fault flight inflight system working eventually gave furthermore landing held tarmac without update pilot compound totally miserable flight walkway unable used due power loss fault qa added misery pilot going radio silence saved scoring trip satisfaction 110 usual impeccable flight crew service top class qa much better flight experience anything 5 standard,,business class,,Unknown,NAN,NAN,0,0,
2011,1,qatar airway customer review,bob mitchell,united kingdom,2015-02-18,unknown,,economy class,,Unknown,NAN,NAN,0,0,
2012,10,qatar airway customer review,osiecki,poland,2015-02-18,wawdohbkk return checkin boarding quick aircraft flight equipped ptvs great variety entertainment feature good food unlimited drink including champagne whisky cognac staff nice helpful composed staff around globe speaking good english dohbkkdoh onboard brand new a380 comfortable flight ive flown plenty legroom wide ptvs comfy seat hard change qr anything else,,economy class,,Unknown,NAN,NAN,0,0,
2013,8,unknown,c meier,germany,2015-02-12,4 flight 3 nice experience new plane time fast good service flight nr 4 7h older a330 crew motivated bit disorganised slow service skipped first run drink snack start serve dinner took 90 minute get first drink food flight different experience expect 5 star airline new economy seat 787 comfortable hard narrow metal box seat,,nan,,Unknown,NAN,NAN,0,0,
